Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
2013-01-03,00:02:17,-1.564,127.386,Earthquake,26.3,12.8,139.0,5.6,MWB,,,36.5,,,1.35,USP000JXRN,US,US,US,Reviewed
2013-01-05,08:58:19,55.393,-134.652,Earthquake,10.0,,659.0,7.5,MWW,,,28.5,,,1.26,USP000JXUM,US,US,US,Reviewed
2013-01-08,14:16:09,39.656,25.54,Earthquake,12.8,2.3,487.0,5.7,MWW,,,14.0,,,0.85,USP000JY2B,US,US,US,Reviewed
2013-01-08,21:26:56,-34.601,179.18,Earthquake,10.0,,104.0,5.7,MWW,,,49.7,,,1.12,USP000JY2W,US,US,US,Reviewed
2013-01-09,01:41:53,25.329,95.048,Earthquake,93.0,,482.0,5.8,MWW,,,14.7,,,0.99,USP000JY3C,US,US,US,Reviewed
2013-01-09,21:46:03,-57.05,-141.465,Earthquake,10.0,,39.0,5.6,MWW,,,64.9,,,0.95,USP000JY5B,US,US,US,Reviewed
2013-01-10,13:47:04,4.72,95.095,Earthquake,38.0,,260.0,5.7,MWW,,,16.2,,,1.02,USP000JY6C,US,US,US,Reviewed
2013-01-13,16:28:26,25.891,-110.103,Earthquake,10.0,,429.0,5.7,MWW,,,60.1,,,1.03,USP000JYCE,US,US,US,Reviewed
2013-01-14,14:55:52,55.163,-134.548,Earthquake,4.0,4.5,423.0,5.5,MWW,,,60.2,,,0.92,USP000JYDT,US,US,US,Reviewed
2013-01-15,16:09:37,-62.571,-161.432,Earthquake,10.0,,75.0,6.1,MWW,,,40.8,,,1.13,USP000JYEV,US,US,US,Reviewed
2013-01-20,10:48:48,64.84,146.503,Earthquake,12.0,,569.0,5.5,MWB,,,25.1,,,0.85,USB000ERSE,US,US,US,Reviewed
2013-01-20,23:32:22,53.873,-35.127,Earthquake,10.0,,328.0,5.5,MWC,,,52.0,,,0.91,USP000JYN6,US,US,GCMT,Reviewed
2013-01-21,19:48:59,30.33,57.467,Earthquake,10.0,,160.0,5.5,MWB,,,48.2,,,0.99,USB000ESBM,US,US,US,Reviewed
2013-01-21,22:22:53,4.927,95.907,Earthquake,12.0,,498.0,6.1,MWW,,,16.5,,,1.24,USB000ESGN,US,US,US,Reviewed
2013-01-27,09:59:29,-16.117,-173.235,Earthquake,19.0,,546.0,5.7,MWW,,,21.0,,,0.8,USC000EWCV,US,US,US,Reviewed
2013-01-28,16:38:54,42.605,79.708,Earthquake,15.0,,548.0,6.1,MWW,,,14.5,,,0.76,USC000EWQQ,US,US,US,Reviewed
2013-01-30,20:15:43,-28.094,-70.653,Earthquake,45.0,,596.0,6.8,MWW,,,19.3,,,1.07,USC000EYP3,US,US,US,Reviewed
2013-01-30,23:03:44,-10.634,166.372,Earthquake,10.0,,301.0,6.1,MWW,,,28.9,,,0.92,USC000EYUR,US,US,US,Reviewed
2013-01-31,03:33:44,-10.64,166.367,Earthquake,9.0,,450.0,6.1,MWW,,,16.3,,,0.92,USC000EZ0W,US,US,US,Reviewed
2013-01-31,03:57:56,-10.682,166.381,Earthquake,10.0,,346.0,5.8,MWC,,,32.3,,,0.99,USC000EZ11,US,US,GCMT,Reviewed
2013-01-31,04:31:30,-10.884,165.438,Earthquake,10.0,,323.0,5.5,MWC,,,26.1,,,0.84,USC000EZ19,US,US,GCMT,Reviewed
2013-01-31,05:18:09,-10.59,166.361,Earthquake,10.0,,238.0,5.5,MWC,,,34.4,,,0.74,USC000EZ22,US,US,GCMT,Reviewed
2013-01-31,09:53:40,55.435,-135.018,Earthquake,13.4,,523.0,5.9,MWW,,,30.5,,,,USC000EZ52,US,AEIC,US,Reviewed
2013-02-01,02:17:28,-6.957,147.676,Earthquake,44.1,9.9,140.0,5.8,MWW,,,29.4,,,1.28,USC000EZHU,US,US,US,Reviewed
2013-02-01,05:36:42,-11.104,165.532,Earthquake,15.0,,313.0,6.0,MWW,,,28.5,,,0.92,USC000EZIL,US,US,US,Reviewed
2013-02-01,22:16:34,-10.896,165.379,Earthquake,10.0,,309.0,6.3,MWW,,,29.5,,,1.31,USC000EZV6,US,US,US,Reviewed
2013-02-01,22:18:33,-11.12,165.378,Earthquake,10.0,,158.0,6.4,MWW,,,28.1,,,1.3,USC000EZW4,US,US,US,Reviewed
2013-02-02,04:16:17,-10.956,165.357,Earthquake,22.2,7.1,360.0,5.8,MWW,,,29.5,,,0.69,USC000EZYT,US,US,US,Reviewed
2013-02-02,14:17:35,42.77,143.092,Earthquake,107.0,,686.0,6.9,MWW,,,28.0,,,0.86,USC000F03A,US,US,US,Reviewed
2013-02-02,18:31:37,29.336,141.992,Earthquake,40.8,4.1,499.0,5.5,MB,,298.0,20.0,,,0.81,USC000F056,US,US,US,Reviewed
2013-02-02,18:58:06,-10.887,165.284,Earthquake,6.0,,343.0,6.0,MWB,,,30.3,,,0.8,USC000F05Y,US,US,US,Reviewed
2013-02-05,19:09:34,-62.31,155.046,Earthquake,10.0,0.0,65.0,5.5,MWC,,,48.8,,,0.87,USP000JZ0P,US,US,GCMT,Reviewed
